evidence_id,source_id,location,modality,extracted_fact,support_scope,limitations,extracted_by,extracted_at,verification_status
E-305,S-005,skills/slopbeth/BENCHMARKS.md:7-32,text,"The benchmark discloses circular self-scoring near-total ties no real-agent wins and a withdrawn tie-as-win metric",direct,"Self-reported evaluation; counts independently line-checked",AG-003,2026-08-25T18:42:38Z,passed
E-306,S-005,skills/slopbeth/scripts/preservation_check.py:12-22;45-78,code,"The preservation checker compares selected literal token classes rather than propositions or voice",direct,"Static inspection only",AG-003,2026-08-25T18:42:38Z,passed
E-307,S-005,skills/slopbeth/scripts/semantic_drift.py:279-317;395-409,code,"The semantic gate checks configured markers and explicitly says a pass is not proof of semantic equivalence",direct,"Static inspection only",AG-003,2026-08-25T18:42:38Z,passed
E-312,S-006,skills/anti-ai-slop-writing/SKILL.md:10-48;84-96,prompt,"The skill imposes categorical vocabulary syntax passive voice punctuation and formatting constraints",direct,"No implementation or behavioral test",AG-003,2026-08-25T18:42:38Z,passed
E-314,S-006,skills/anti-ai-slop-writing/SKILL.md:52-82;98-106,prompt,"The skill forbids invented anecdotes data studies statistics and quotes and asks for voice and platform matching",direct,"No conflict-priority or behavioral test",AG-003,2026-08-25T18:42:38Z,passed
E-317,S-006,repository inventory,filesystem,"The pinned snapshot has no implementation tests fixtures evaluation artifact or license text file",direct,"Applies only to the pinned commit",AG-003,2026-08-25T18:42:38Z,passed
E-401,S-007,SKILL.md:20-26,prompt,"avoid-ai-writing calls patterns signals rather than authorship proof and warns against consequential use",direct,"External percentages in the passage were not checked",AG-004,2026-08-25T18:41:44Z,passed
E-402,S-007,SKILL.md:28-65,prompt,"The skill separates rewrite detect and file-edit modes and protects structured attributed and clean spans",direct,"Intended behavior only",AG-004,2026-08-25T18:41:44Z,passed
E-406,S-007,SKILL.md:800-816,prompt,"Never-inject rules prohibit fake first person stakes foils candor rhythm and invented specifics",direct,"Instruction does not prove semantic preservation",AG-004,2026-08-25T18:41:44Z,passed
E-411,S-007,detector/patterns.js:2038-2060,code,"The detector emits HUMAN_ONLY MIXED and AI_ONLY plus values described as uncalibrated",direct,"Static inspection only",AG-004,2026-08-25T18:41:44Z,passed
E-412,S-007,detector/validate.js:175-290,code,"The validator protects selected Markdown structures identifiers and residual pattern counts",direct,"Does not prove semantic factual or voice equivalence",AG-004,2026-08-25T18:41:44Z,passed
E-415,S-007,corpus/README.md:114-145,text,"The repository reports paragraph ROC-AUC 0.501 document ROC-AUC 0.623 and no useful threshold",direct,"Repository-reported results were not reproduced",AG-004,2026-08-25T18:41:44Z,passed
E-430,S-007,README.md:441-448,text,"avoid-ai-writing credits blader/humanizer and other upstream pattern sources",direct,"Shows lineage rather than outcome quality",ROOT,2026-08-25T18:55:27Z,passed
E-431,S-009,references/writing.md:254-282,text,"Kami requires declarative slide titles with supporting evidence and captions that add a tradeoff boundary next step or insight rather than restating the title or diagram",direct,"Prescriptive artifact guidance without outcome testing",ROOT,2026-08-25T19:08:00Z,passed
E-432,S-001,README.md:5;22-24,text,"soundshuman separates a model editing skill a machine-readable rule pack and a zero-dependency repository scanner",direct,"Architecture description does not establish effectiveness or calibration",ROOT,2026-08-25T19:16:53Z,passed
E-433,S-003,skills/no-ai-slop/SKILL.md:91-96,text,"No AI Slop asks the editor to identify the core point and three to five voice signals before making minimum effective changes",direct,"Prompt workflow without behavioral measurement",ROOT,2026-08-25T19:16:53Z,passed
E-434,S-003,skills/no-ai-slop/SKILL.md:36,text,"No AI Slop defines a portability test for generic filler",direct,"A diagnostic heuristic with possible false positives",ROOT,2026-08-25T19:16:53Z,passed
E-435,S-004,SKILL.md:30-46;432-438,text,"Humanizer prioritizes a supplied writing sample and protects code data metadata and link targets in file mode",direct,"Prompt contract does not prove reliable preservation",ROOT,2026-08-25T19:16:53Z,passed
E-436,S-007,detector/categories.test.js:1-11;50-67,code,"avoid-ai-writing has executable tests that keep detector categories and documentation mappings synchronized",direct,"Static code inspection only",ROOT,2026-08-25T19:16:53Z,passed
E-437,S-001,bin/sloplint.js:238-265,code,"soundshuman applies phrase and punctuation fixes to a raw text string without protected-region parsing inside applyFixes",direct,"A caller could impose boundaries outside this function",ROOT,2026-08-25T19:16:53Z,passed
E-438,S-006,README.md:68-70,text,"anti-ai-slop-writing labels the project MIT in its README",direct,"The pinned repository has no top-level license file",ROOT,2026-08-25T19:16:53Z,passed
E-439,S-004,README.md:9;149-150,text,"Humanizer identifies Wikipedia Signs of AI writing as the source of its pattern list",direct,"Does not by itself determine licensing for every file",ROOT,2026-08-25T19:16:53Z,passed
E-440,S-001,LICENSE:12-13,text,"soundshuman states that its pattern research ultimately derives from Wikipedia Signs of AI writing maintained by WikiProject AI Cleanup under CC BY-SA",direct,"A file-level provenance review is still required",ROOT,2026-08-25T19:16:53Z,passed
E-441,S-001,SKILL.md:130-138,text,"soundshuman treats unnecessary synonym cycling as a problem and recommends repeating the clearest term",direct,"Context can still justify lexical variation",ROOT,2026-08-25T19:16:53Z,passed
E-442,S-003,skills/no-ai-slop/SKILL.md:74-78,text,"No AI Slop flags dramatic fragmentation repeated sentence shapes and stacked punchy fragments",direct,"Pattern diagnosis requires contextual judgment",ROOT,2026-08-25T19:16:53Z,passed
E-423,S-009,references/writing.md:9-52,text,"Kami prioritizes data judgment distinct phrasing honest boundaries source verification precision matching and explicit gaps",direct,"Prescriptive reference without outcome testing",AG-004,2026-08-25T18:41:44Z,passed
E-424,S-008,references/anti-patterns.md:15-23,text,"Kami flags unsupported precision chart-narrative mismatch unnamed benchmarks and mixed comparison windows",direct,"Prescriptive examples",AG-004,2026-08-25T18:41:44Z,passed
E-426,S-008,references/anti-patterns.md:75-86,text,"Kami calls for placeholders drift checks synchronized public facts and dated dynamic counts",direct,"Prescriptive examples",AG-004,2026-08-25T18:41:44Z,passed
E-427,S-009,references/writing.md:235-252,text,"Kami requires portfolio case studies to show decisions tradeoffs exact ownership evidence and measured resolution",direct,"Quantification must remain source-bound",AG-004,2026-08-25T18:41:44Z,passed
E-901,S-010,portfolio-pass-order.md:5-45,text,"The current portfolio uses seven specialized ordered passes skip rules and a preservation ledger",direct,"Baseline architecture; not independent outcome evidence",ROOT,2026-08-25T18:55:27Z,passed
E-902,S-010,scripts/validate_portfolio.py:155-220,code,"The validator requires at least ten fixtures per skill plus negative activation and preservation or boundary cases",direct,"Static gates do not measure generated-output quality",ROOT,2026-08-25T18:55:27Z,passed
