principle_id,source_id,author,work,edition,chapter_or_section,page_or_location,author_term,canonical_term,writing_level,fault_class,reader_problem,diagnostic_signal,diagnostic_question,revision_operation,procedure,conditions,exceptions,risks,counterexamples,evidence_type,empirical_status,skill_owner,secondary_skill,reference_only,exclusion_reason,example_ids,test_ids,confidence
WB-COH-03,WB5,Joseph M. Williams; Joseph Bizup,Style: The Basics of Clarity and Grace,5th,Cohesion and Coherence/Global Coherence,https://www.pearson.com/en-us/subject-catalog/p/style-the-basics-of-clarity-and-grace/P200000002141/9780134109749,cohesion,local connective flow,Paragraph,flow/coherence,reader cannot connect or rank propositions,references/lexical chains are ambiguous,What backward relation and forward movement should the reader recover?,repair referents and lexical links,Diagnose in context; apply the smallest supported change; run the semantic-preservation audit.,Use only when the observable signal causes the stated reader problem.,Marked form may be functional; consult the owning skill's exceptions.,"Mechanical application can change meaning, hierarchy, register, evidence, or voice.",A clean instance of the marked form should remain unchanged.,rhetorical heuristic,normative/case-supported; not universal empirical law,cohesion-emphasis,,False,,,,medium
WB-COH-04,WB5,Joseph M. Williams; Joseph Bizup,Style: The Basics of Clarity and Grace,5th,Cohesion and Coherence/Global Coherence,https://www.pearson.com/en-us/subject-catalog/p/style-the-basics-of-clarity-and-grace/P200000002141/9780134109749,coherence,recoverable paragraph logic,Paragraph,flow/coherence,reader cannot connect or rank propositions,sentences are locally clear but point/order is obscure,What backward relation and forward movement should the reader recover?,reorder or add missing premise,Diagnose in context; apply the smallest supported change; run the semantic-preservation audit.,Use only when the observable signal causes the stated reader problem.,Marked form may be functional; consult the owning skill's exceptions.,"Mechanical application can change meaning, hierarchy, register, evidence, or voice.",A clean instance of the marked form should remain unchanged.,rhetorical heuristic,normative/case-supported; not universal empirical law,cohesion-emphasis,,False,,,,medium
WB-COH-05,WB5,Joseph M. Williams; Joseph Bizup,Style: The Basics of Clarity and Grace,5th,Cohesion and Coherence/Global Coherence,https://www.pearson.com/en-us/subject-catalog/p/style-the-basics-of-clarity-and-grace/P200000002141/9780134109749,old before new,given-before-dependent-new,Paragraph,flow/coherence,reader cannot connect or rank propositions,new detail precedes interpretive context,What backward relation and forward movement should the reader recover?,move context before dependent novelty,Diagnose in context; apply the smallest supported change; run the semantic-preservation audit.,Use only when the observable signal causes the stated reader problem.,Marked form may be functional; consult the owning skill's exceptions.,"Mechanical application can change meaning, hierarchy, register, evidence, or voice.",A clean instance of the marked form should remain unchanged.,rhetorical heuristic,normative/case-supported; not universal empirical law,cohesion-emphasis,,False,,,,medium
WB-COH-06,WB5,Joseph M. Williams; Joseph Bizup,Style: The Basics of Clarity and Grace,5th,Cohesion and Coherence/Global Coherence,https://www.pearson.com/en-us/subject-catalog/p/style-the-basics-of-clarity-and-grace/P200000002141/9780134109749,transition,explicit logical relation,Paragraph,flow/coherence,reader cannot connect or rank propositions,transition labels unsupported logic,What backward relation and forward movement should the reader recover?,supply relation or remove transition,Diagnose in context; apply the smallest supported change; run the semantic-preservation audit.,Use only when the observable signal causes the stated reader problem.,Marked form may be functional; consult the owning skill's exceptions.,"Mechanical application can change meaning, hierarchy, register, evidence, or voice.",A clean instance of the marked form should remain unchanged.,rhetorical heuristic,normative/case-supported; not universal empirical law,cohesion-emphasis,,False,,,,medium
WB-COH-07,WB5,Joseph M. Williams; Joseph Bizup,Style: The Basics of Clarity and Grace,5th,Cohesion and Coherence/Global Coherence,https://www.pearson.com/en-us/subject-catalog/p/style-the-basics-of-clarity-and-grace/P200000002141/9780134109749,global coherence,document frame,Document,flow/coherence,reader cannot connect or rank propositions,reader lacks problem/point/order,What backward relation and forward movement should the reader recover?,"frame context, motivating problem, point, and forecast",Diagnose in context; apply the smallest supported change; run the semantic-preservation audit.,Use only when the observable signal causes the stated reader problem.,Marked form may be functional; consult the owning skill's exceptions.,"Mechanical application can change meaning, hierarchy, register, evidence, or voice.",A clean instance of the marked form should remain unchanged.,rhetorical heuristic,normative/case-supported; not universal empirical law,cohesion-emphasis,memo-structure,False,,,,medium
WB-COH-08,WB5,Joseph M. Williams; Joseph Bizup,Style: The Basics of Clarity and Grace,5th,Cohesion and Coherence/Global Coherence,https://www.pearson.com/en-us/subject-catalog/p/style-the-basics-of-clarity-and-grace/P200000002141/9780134109749,point,paragraph/document governing claim,Document,flow/coherence,reader cannot connect or rank propositions,unit has topics but no claim,What backward relation and forward movement should the reader recover?,state or recover governing claim,Diagnose in context; apply the smallest supported change; run the semantic-preservation audit.,Use only when the observable signal causes the stated reader problem.,Marked form may be functional; consult the owning skill's exceptions.,"Mechanical application can change meaning, hierarchy, register, evidence, or voice.",A clean instance of the marked form should remain unchanged.,rhetorical heuristic,normative/case-supported; not universal empirical law,cohesion-emphasis,memo-structure,False,,,,medium
WB-EMP-01,WB5,Joseph M. Williams; Joseph Bizup,Style: The Basics of Clarity and Grace,5th,Emphasis/Shape,https://www.pearson.com/en-us/subject-catalog/p/style-the-basics-of-clarity-and-grace/P200000002141/9780134109749,stress,syntactic closure emphasis,Sentence,buried emphasis,reader stresses/ranks wrong material,payoff sits in weak/intermediate position,Does structural prominence match substantive importance?,move payoff to a controlled closure,Diagnose in context; apply the smallest supported change; run the semantic-preservation audit.,Use only when the observable signal causes the stated reader problem.,Marked form may be functional; consult the owning skill's exceptions.,"Mechanical application can change meaning, hierarchy, register, evidence, or voice.",A clean instance of the marked form should remain unchanged.,rhetorical heuristic,normative/case-supported; not universal empirical law,cohesion-emphasis,sentence-variety,False,,,,medium
WB-EMP-02,WB5,Joseph M. Williams; Joseph Bizup,Style: The Basics of Clarity and Grace,5th,Emphasis/Shape,https://www.pearson.com/en-us/subject-catalog/p/style-the-basics-of-clarity-and-grace/P200000002141/9780134109749,end weight,late heavy constituent,Sentence,buried emphasis,reader stresses/ranks wrong material,heavy constituent overloads opening,Does structural prominence match substantive importance?,place longer material later when compatible,Diagnose in context; apply the smallest supported change; run the semantic-preservation audit.,Use only when the observable signal causes the stated reader problem.,Marked form may be functional; consult the owning skill's exceptions.,"Mechanical application can change meaning, hierarchy, register, evidence, or voice.",A clean instance of the marked form should remain unchanged.,rhetorical heuristic,normative/case-supported; not universal empirical law,cohesion-emphasis,sentence-variety,False,,,,medium
WB-EMP-03,WB5,Joseph M. Williams; Joseph Bizup,Style: The Basics of Clarity and Grace,5th,Emphasis/Shape,https://www.pearson.com/en-us/subject-catalog/p/style-the-basics-of-clarity-and-grace/P200000002141/9780134109749,new information,advancing material,Sentence,buried emphasis,reader stresses/ranks wrong material,sentence ends with already settled detail,Does structural prominence match substantive importance?,end with advancing information,Diagnose in context; apply the smallest supported change; run the semantic-preservation audit.,Use only when the observable signal causes the stated reader problem.,Marked form may be functional; consult the owning skill's exceptions.,"Mechanical application can change meaning, hierarchy, register, evidence, or voice.",A clean instance of the marked form should remain unchanged.,rhetorical heuristic,normative/case-supported; not universal empirical law,cohesion-emphasis,sentence-variety,False,,,,medium
WB-EMP-04,WB5,Joseph M. Williams; Joseph Bizup,Style: The Basics of Clarity and Grace,5th,Emphasis/Shape,https://www.pearson.com/en-us/subject-catalog/p/style-the-basics-of-clarity-and-grace/P200000002141/9780134109749,complexity,context-dependent complexity placement,Sentence,buried emphasis,reader stresses/ranks wrong material,technical detail precedes frame,Does structural prominence match substantive importance?,provide frame first,Diagnose in context; apply the smallest supported change; run the semantic-preservation audit.,Use only when the observable signal causes the stated reader problem.,Marked form may be functional; consult the owning skill's exceptions.,"Mechanical application can change meaning, hierarchy, register, evidence, or voice.",A clean instance of the marked form should remain unchanged.,rhetorical heuristic,normative/case-supported; not universal empirical law,cohesion-emphasis,sentence-variety,False,,,,medium
WB-EMP-05,WB5,Joseph M. Williams; Joseph Bizup,Style: The Basics of Clarity and Grace,5th,Emphasis/Shape,https://www.pearson.com/en-us/subject-catalog/p/style-the-basics-of-clarity-and-grace/P200000002141/9780134109749,emphasis,clause hierarchy,Sentence,buried emphasis,reader stresses/ranks wrong material,secondary grammar carries primary claim,Does structural prominence match substantive importance?,promote claim to main clause,Diagnose in context; apply the smallest supported change; run the semantic-preservation audit.,Use only when the observable signal causes the stated reader problem.,Marked form may be functional; consult the owning skill's exceptions.,"Mechanical application can change meaning, hierarchy, register, evidence, or voice.",A clean instance of the marked form should remain unchanged.,rhetorical heuristic,normative/case-supported; not universal empirical law,cohesion-emphasis,sentence-variety,False,,,,medium
WB-EMP-06,WB5,Joseph M. Williams; Joseph Bizup,Style: The Basics of Clarity and Grace,5th,Emphasis/Shape,https://www.pearson.com/en-us/subject-catalog/p/style-the-basics-of-clarity-and-grace/P200000002141/9780134109749,short ending,controlled final emphasis,Sentence,buried emphasis,reader stresses/ranks wrong material,several endings compete,Does structural prominence match substantive importance?,split or punctuate units to control closure,Diagnose in context; apply the smallest supported change; run the semantic-preservation audit.,Use only when the observable signal causes the stated reader problem.,Marked form may be functional; consult the owning skill's exceptions.,"Mechanical application can change meaning, hierarchy, register, evidence, or voice.",A clean instance of the marked form should remain unchanged.,rhetorical heuristic,normative/case-supported; not universal empirical law,cohesion-emphasis,sentence-variety,False,,,,medium
WB-CON-01,WB5,Joseph M. Williams; Joseph Bizup,Style: The Basics of Clarity and Grace,5th,Concision,https://www.pearson.com/en-us/subject-catalog/p/style-the-basics-of-clarity-and-grace/P200000002141/9780134109749,metadiscourse,genuine excess,Phrase,wordiness,reader spends effort without gaining function,frame comments do not orient/qualify,Can this be removed without changing protected meaning/function?,delete or state point,Diagnose in context; apply the smallest supported change; run the semantic-preservation audit.,Use only when the observable signal causes the stated reader problem.,retain useful navigation/stance,"Mechanical application can change meaning, hierarchy, register, evidence, or voice.",A clean instance of the marked form should remain unchanged.,rhetorical heuristic,normative/case-supported; not universal empirical law,concision,,False,,,,medium
WB-CON-02,WB5,Joseph M. Williams; Joseph Bizup,Style: The Basics of Clarity and Grace,5th,Concision,https://www.pearson.com/en-us/subject-catalog/p/style-the-basics-of-clarity-and-grace/P200000002141/9780134109749,redundancy,genuine excess,Phrase,wordiness,reader spends effort without gaining function,pair repeats same meaning,Can this be removed without changing protected meaning/function?,keep informative element,Diagnose in context; apply the smallest supported change; run the semantic-preservation audit.,Use only when the observable signal causes the stated reader problem.,retain conventional or safety repetition,"Mechanical application can change meaning, hierarchy, register, evidence, or voice.",A clean instance of the marked form should remain unchanged.,rhetorical heuristic,normative/case-supported; not universal empirical law,concision,,False,,,,medium
WB-CON-03,WB5,Joseph M. Williams; Joseph Bizup,Style: The Basics of Clarity and Grace,5th,Concision,https://www.pearson.com/en-us/subject-catalog/p/style-the-basics-of-clarity-and-grace/P200000002141/9780134109749,meaningless modifier,genuine excess,Phrase,wordiness,reader spends effort without gaining function,modifier adds no calibrated content,Can this be removed without changing protected meaning/function?,delete or specify,Diagnose in context; apply the smallest supported change; run the semantic-preservation audit.,Use only when the observable signal causes the stated reader problem.,retain defined technical modifiers,"Mechanical application can change meaning, hierarchy, register, evidence, or voice.",A clean instance of the marked form should remain unchanged.,rhetorical heuristic,normative/case-supported; not universal empirical law,concision,,False,,,,medium
WB-CON-04,WB5,Joseph M. Williams; Joseph Bizup,Style: The Basics of Clarity and Grace,5th,Concision,https://www.pearson.com/en-us/subject-catalog/p/style-the-basics-of-clarity-and-grace/P200000002141/9780134109749,repeated meaning,genuine excess,Phrase,wordiness,reader spends effort without gaining function,proposition recurs without function,Can this be removed without changing protected meaning/function?,consolidate,Diagnose in context; apply the smallest supported change; run the semantic-preservation audit.,Use only when the observable signal causes the stated reader problem.,retain cohesion/emphasis/learning repetition,"Mechanical application can change meaning, hierarchy, register, evidence, or voice.",A clean instance of the marked form should remain unchanged.,rhetorical heuristic,normative/case-supported; not universal empirical law,concision,,False,,,,medium
WB-CON-05,WB5,Joseph M. Williams; Joseph Bizup,Style: The Basics of Clarity and Grace,5th,Concision,https://www.pearson.com/en-us/subject-catalog/p/style-the-basics-of-clarity-and-grace/P200000002141/9780134109749,phrase for word,genuine excess,Phrase,wordiness,reader spends effort without gaining function,long phrase has precise transparent equivalent,Can this be removed without changing protected meaning/function?,compress,Diagnose in context; apply the smallest supported change; run the semantic-preservation audit.,Use only when the observable signal causes the stated reader problem.,avoid jargon substitution,"Mechanical application can change meaning, hierarchy, register, evidence, or voice.",A clean instance of the marked form should remain unchanged.,rhetorical heuristic,normative/case-supported; not universal empirical law,concision,,False,,,,medium
WB-CON-06,WB5,Joseph M. Williams; Joseph Bizup,Style: The Basics of Clarity and Grace,5th,Concision,https://www.pearson.com/en-us/subject-catalog/p/style-the-basics-of-clarity-and-grace/P200000002141/9780134109749,hedging/intensification,genuine excess,Phrase,wordiness,reader spends effort without gaining function,stack exceeds evidentiary need,Can this be removed without changing protected meaning/function?,calibrate,Diagnose in context; apply the smallest supported change; run the semantic-preservation audit.,Use only when the observable signal causes the stated reader problem.,preserve warranted uncertainty,"Mechanical application can change meaning, hierarchy, register, evidence, or voice.",A clean instance of the marked form should remain unchanged.,rhetorical heuristic,normative/case-supported; not universal empirical law,concision,,False,,,,medium
WB-CON-07,WB5,Joseph M. Williams; Joseph Bizup,Style: The Basics of Clarity and Grace,5th,Concision,https://www.pearson.com/en-us/subject-catalog/p/style-the-basics-of-clarity-and-grace/P200000002141/9780134109749,negative form,genuine excess,Phrase,wordiness,reader spends effort without gaining function,negative circumlocution adds work,Can this be removed without changing protected meaning/function?,state affirmative when exact,Diagnose in context; apply the smallest supported change; run the semantic-preservation audit.,Use only when the observable signal causes the stated reader problem.,"keep prohibitions, contrast, absence","Mechanical application can change meaning, hierarchy, register, evidence, or voice.",A clean instance of the marked form should remain unchanged.,rhetorical heuristic,normative/case-supported; not universal empirical law,concision,,False,,,,medium
WB-CON-08,WB5,Joseph M. Williams; Joseph Bizup,Style: The Basics of Clarity and Grace,5th,Concision,https://www.pearson.com/en-us/subject-catalog/p/style-the-basics-of-clarity-and-grace/P200000002141/9780134109749,terseness,genuine excess,Phrase,wordiness,reader spends effort without gaining function,cutting makes prose harder,Can this be removed without changing protected meaning/function?,restore enough context/rhythm,Diagnose in context; apply the smallest supported change; run the semantic-preservation audit.,Use only when the observable signal causes the stated reader problem.,longer can be more concise in reader effort,"Mechanical application can change meaning, hierarchy, register, evidence, or voice.",A clean instance of the marked form should remain unchanged.,rhetorical heuristic,normative/case-supported; not universal empirical law,concision,,False,,,,medium
WB-UNDER-01,WB5,Joseph M. Williams; Joseph Bizup,Style: The Basics of Clarity and Grace,5th,Understanding Style,https://www.pearson.com/en-us/subject-catalog/p/style-the-basics-of-clarity-and-grace/P200000002141/9780134109749,choice,style as reader-oriented choice,Sentence,form-purpose mismatch,syntax does not express relationship,form/rhythm conflicts with rhetorical job,What relationship should the syntax make perceptible?,select least marked fitting form,Diagnose in context; apply the smallest supported change; run the semantic-preservation audit.,Use only when the observable signal causes the stated reader problem.,Marked form may be functional; consult the owning skill's exceptions.,"Mechanical application can change meaning, hierarchy, register, evidence, or voice.",A clean instance of the marked form should remain unchanged.,rhetorical heuristic,normative/case-supported; not universal empirical law,shared-reference,,False,,,,low-medium
WB-SHP-01,WB5,Joseph M. Williams; Joseph Bizup,Style: The Basics of Clarity and Grace,5th,Shape,https://www.pearson.com/en-us/subject-catalog/p/style-the-basics-of-clarity-and-grace/P200000002141/9780134109749,resumptive/summative/free modifier,controlled sentence expansion,Sentence,form-purpose mismatch,syntax does not express relationship,form/rhythm conflicts with rhetorical job,What relationship should the syntax make perceptible?,select least marked fitting form,Diagnose in context; apply the smallest supported change; run the semantic-preservation audit.,Use only when the observable signal causes the stated reader problem.,Marked form may be functional; consult the owning skill's exceptions.,"Mechanical application can change meaning, hierarchy, register, evidence, or voice.",A clean instance of the marked form should remain unchanged.,rhetorical heuristic,normative/case-supported; not universal empirical law,sentence-variety,,False,,,,low-medium
WB-SHP-02,WB5,Joseph M. Williams; Joseph Bizup,Style: The Basics of Clarity and Grace,5th,Shape,https://www.pearson.com/en-us/subject-catalog/p/style-the-basics-of-clarity-and-grace/P200000002141/9780134109749,coordination,equal logical relation,Sentence,form-purpose mismatch,syntax does not express relationship,form/rhythm conflicts with rhetorical job,What relationship should the syntax make perceptible?,select least marked fitting form,Diagnose in context; apply the smallest supported change; run the semantic-preservation audit.,Use only when the observable signal causes the stated reader problem.,Marked form may be functional; consult the owning skill's exceptions.,"Mechanical application can change meaning, hierarchy, register, evidence, or voice.",A clean instance of the marked form should remain unchanged.,rhetorical heuristic,normative/case-supported; not universal empirical law,sentence-variety,,False,,,,low-medium
WB-ELG-01,WB5,Joseph M. Williams; Joseph Bizup,Style: The Basics of Clarity and Grace,5th,Elegance,https://www.pearson.com/en-us/subject-catalog/p/style-the-basics-of-clarity-and-grace/P200000002141/9780134109749,balance and parallelism,purposeful symmetry,Sentence,form-purpose mismatch,syntax does not express relationship,form/rhythm conflicts with rhetorical job,What relationship should the syntax make perceptible?,select least marked fitting form,Diagnose in context; apply the smallest supported change; run the semantic-preservation audit.,Use only when the observable signal causes the stated reader problem.,Marked form may be functional; consult the owning skill's exceptions.,"Mechanical application can change meaning, hierarchy, register, evidence, or voice.",A clean instance of the marked form should remain unchanged.,rhetorical heuristic,normative/case-supported; not universal empirical law,sentence-variety,,False,,,,low-medium
WB-ELG-02,WB5,Joseph M. Williams; Joseph Bizup,Style: The Basics of Clarity and Grace,5th,Elegance,https://www.pearson.com/en-us/subject-catalog/p/style-the-basics-of-clarity-and-grace/P200000002141/9780134109749,rhythm,audible syntactic movement,Sentence,form-purpose mismatch,syntax does not express relationship,form/rhythm conflicts with rhetorical job,What relationship should the syntax make perceptible?,select least marked fitting form,Diagnose in context; apply the smallest supported change; run the semantic-preservation audit.,Use only when the observable signal causes the stated reader problem.,Marked form may be functional; consult the owning skill's exceptions.,"Mechanical application can change meaning, hierarchy, register, evidence, or voice.",A clean instance of the marked form should remain unchanged.,rhetorical heuristic,normative/case-supported; not universal empirical law,sentence-variety,,False,,,,low-medium
WB-ELG-03,WB5,Joseph M. Williams; Joseph Bizup,Style: The Basics of Clarity and Grace,5th,Elegance,https://www.pearson.com/en-us/subject-catalog/p/style-the-basics-of-clarity-and-grace/P200000002141/9780134109749,suspension,controlled periodic emphasis,Sentence,form-purpose mismatch,syntax does not express relationship,form/rhythm conflicts with rhetorical job,What relationship should the syntax make perceptible?,select least marked fitting form,Diagnose in context; apply the smallest supported change; run the semantic-preservation audit.,Use only when the observable signal causes the stated reader problem.,Marked form may be functional; consult the owning skill's exceptions.,"Mechanical application can change meaning, hierarchy, register, evidence, or voice.",A clean instance of the marked form should remain unchanged.,rhetorical heuristic,normative/case-supported; not universal empirical law,sentence-variety,,False,,,,low-medium
LAN-PM-01,LAN5,Richard A. Lanham,Revising Prose,5th,Action/Attention/Voice,Pinto review: Action p.14; Attention p.34; Voice p.42; lard formula review p.4,circle prepositions,preposition-chain scan,Sentence,official-style wordiness,reader attention is consumed by verbal padding,many prepositional relations delay kernel,Does the marked material add protected meaning or function?,mark and assess each relation,Diagnose in context; apply the smallest supported change; run the semantic-preservation audit.,Use only when the observable signal causes the stated reader problem.,Marked form may be functional; consult the owning skill's exceptions.,"Mechanical application can change meaning, hierarchy, register, evidence, or voice.",A clean instance of the marked form should remain unchanged.,rhetorical heuristic,normative/case-supported; not universal empirical law,concision,sentence-clarity,False,,,,medium-high
LAN-PM-02,LAN5,Richard A. Lanham,Revising Prose,5th,Action/Attention/Voice,Pinto review: Action p.14; Attention p.34; Voice p.42; lard formula review p.4,circle is,copular/light-verb scan,Sentence,official-style wordiness,reader attention is consumed by verbal padding,copular frame may carry hidden action,Does the marked material add protected meaning or function?,mark and distinguish state from padding,Diagnose in context; apply the smallest supported change; run the semantic-preservation audit.,Use only when the observable signal causes the stated reader problem.,Marked form may be functional; consult the owning skill's exceptions.,"Mechanical application can change meaning, hierarchy, register, evidence, or voice.",A clean instance of the marked form should remain unchanged.,rhetorical heuristic,normative/case-supported; not universal empirical law,concision,sentence-clarity,False,,,,medium-high
