source_id,order,chapter_or_section,page_or_location,access,operational_disposition,skill_owner,notes
WBL13,21,Appendix I: Punctuation,official Pearson TOC,partial-related,Related-edition location accounted; used only to distinguish the current Lessons line and corroborate architecture,shared-reference,Not substituted for Basics fifth; full chapter unavailable
WBL13,22,Appendix II: Using Sources,official Pearson TOC,partial-related,Related-edition location accounted; used only to distinguish the current Lessons line and corroborate architecture,shared-reference,Not substituted for Basics fifth; full chapter unavailable
WBL13,23,Glossary,official Pearson TOC,partial-related,Related-edition location accounted; used only to distinguish the current Lessons line and corroborate architecture,shared-reference,Not substituted for Basics fifth; full chapter unavailable
WBL13,24,Suggested Answers,official Pearson TOC,partial-related,Related-edition location accounted; used only to distinguish the current Lessons line and corroborate architecture,shared-reference,Not substituted for Basics fifth; full chapter unavailable
WBL13,25,Acknowledgments,official Pearson TOC,partial-related,Related-edition location accounted; used only to distinguish the current Lessons line and corroborate architecture,shared-reference,Not substituted for Basics fifth; full chapter unavailable
WBL13,26,Index,official Pearson TOC,partial-related,Related-edition location accounted; used only to distinguish the current Lessons line and corroborate architecture,shared-reference,Not substituted for Basics fifth; full chapter unavailable
LAN5,1,Preface,review page spans/official TOC,partial,Chapter-level method/disposition registered,reference-only,Full chapter unavailable
LAN5,2,1 Action,review page spans/official TOC,partial,Chapter-level method/disposition registered,concision,Full chapter unavailable
LAN5,3,2 Attention,review page spans/official TOC,partial,Chapter-level method/disposition registered,concision,Full chapter unavailable
LAN5,4,3 Voice,review page spans/official TOC,partial,Chapter-level method/disposition registered,concision,Full chapter unavailable
LAN5,5,4 Skotison! (Intentional Obscurity),review page spans/official TOC,partial,Chapter-level method/disposition registered,concision,Full chapter unavailable
LAN5,6,5 Business Prose,review page spans/official TOC,partial,Chapter-level method/disposition registered,concision,Full chapter unavailable
LAN5,7,6 Professional Prose,review page spans/official TOC,partial,Chapter-level method/disposition registered,concision,Full chapter unavailable
LAN5,8,7 Electronic Prose,review page spans/official TOC,partial,Chapter-level method/disposition registered,concision,Full chapter unavailable
LAN5,9,8 Why Bother?,review page spans/official TOC,partial,Chapter-level method/disposition registered,concision,Full chapter unavailable
LAN5,10,Appendix of Terms,review page spans/official TOC,partial,Chapter-level method/disposition registered,reference-only,Full chapter unavailable
LAN5,11,Exercises,review page spans/official TOC,partial,Chapter-level method/disposition registered,reference-only,Full chapter unavailable
LAN5,12,Index,review page spans/official TOC,partial,Chapter-level method/disposition registered,reference-only,Full chapter unavailable
GOPEN,1,1 The Complexity of the English Sentence,publisher-supplied TOC,partial,Mapped to cohesion/emphasis or usage reference where supported by full companion article,cohesion-emphasis,Full book text unavailable
GOPEN,2,"1.1 Tools, Not Rules",publisher-supplied TOC,partial,Mapped to cohesion/emphasis or usage reference where supported by full companion article,cohesion-emphasis,Full book text unavailable
GOPEN,3,1.2 Anatomy of a Sentence’s Meaning from the Reader’s Perspective,publisher-supplied TOC,partial,Mapped to cohesion/emphasis or usage reference where supported by full companion article,cohesion-emphasis,Full book text unavailable
GOPEN,4,2 A Structural Anatomy of the English Sentence,publisher-supplied TOC,partial,Mapped to cohesion/emphasis or usage reference where supported by full companion article,cohesion-emphasis,Full book text unavailable
GOPEN,5,2.1 Fallacy of Good and Bad Sentences,publisher-supplied TOC,partial,Mapped to cohesion/emphasis or usage reference where supported by full companion article,cohesion-emphasis,Full book text unavailable
GOPEN,6,2.2 Reader Expectations at Sentence Level,publisher-supplied TOC,partial,Mapped to cohesion/emphasis or usage reference where supported by full companion article,cohesion-emphasis,Full book text unavailable
GOPEN,7,3 Weights and Balances; Motions and Connections,publisher-supplied TOC,partial,Mapped to cohesion/emphasis or usage reference where supported by full companion article,cohesion-emphasis,Full book text unavailable
GOPEN,8,3.1 Artificial Emphasis and When to Use It,publisher-supplied TOC,partial,Mapped to cohesion/emphasis or usage reference where supported by full companion article,cohesion-emphasis,Full book text unavailable
GOPEN,9,3.2 Fred and His Dog: Competition for Emphasis,publisher-supplied TOC,partial,Mapped to cohesion/emphasis or usage reference where supported by full companion article,cohesion-emphasis,Full book text unavailable
GOPEN,10,3.3 Moments of Truth,publisher-supplied TOC,partial,Mapped to cohesion/emphasis or usage reference where supported by full companion article,cohesion-emphasis,Full book text unavailable
GOPEN,11,3.4 Backwards Link of Topic Position,publisher-supplied TOC,partial,Mapped to cohesion/emphasis or usage reference where supported by full companion article,cohesion-emphasis,Full book text unavailable
GOPEN,12,3.5 Functions of Stress Position,publisher-supplied TOC,partial,Mapped to cohesion/emphasis or usage reference where supported by full companion article,cohesion-emphasis,Full book text unavailable
GOPEN,13,3.6 Flow of Thought from Sentence to Sentence,publisher-supplied TOC,partial,Mapped to cohesion/emphasis or usage reference where supported by full companion article,cohesion-emphasis,Full book text unavailable
GOPEN,14,"4 Whose Paragraph Is It, Anyway?",publisher-supplied TOC,partial,Mapped to cohesion/emphasis or usage reference where supported by full companion article,cohesion-emphasis,Full book text unavailable
GOPEN,15,4.1 Procrustean Problems,publisher-supplied TOC,partial,Mapped to cohesion/emphasis or usage reference where supported by full companion article,cohesion-emphasis,Full book text unavailable
GOPEN,16,4.2 Issue,publisher-supplied TOC,partial,Mapped to cohesion/emphasis or usage reference where supported by full companion article,cohesion-emphasis,Full book text unavailable
GOPEN,17,4.3 Point,publisher-supplied TOC,partial,Mapped to cohesion/emphasis or usage reference where supported by full companion article,cohesion-emphasis,Full book text unavailable
GOPEN,18,4.4 Pointless Paragraphs,publisher-supplied TOC,partial,Mapped to cohesion/emphasis or usage reference where supported by full companion article,cohesion-emphasis,Full book text unavailable
GOPEN,19,4.5 Connections Between Paragraphs,publisher-supplied TOC,partial,Mapped to cohesion/emphasis or usage reference where supported by full companion article,cohesion-emphasis,Full book text unavailable
GOPEN,20,4.6 Summarizing Paragraph Structures,publisher-supplied TOC,partial,Mapped to cohesion/emphasis or usage reference where supported by full companion article,cohesion-emphasis,Full book text unavailable
GOPEN,21,4.7 Note on Whole Documents,publisher-supplied TOC,partial,Mapped to cohesion/emphasis or usage reference where supported by full companion article,cohesion-emphasis,Full book text unavailable
GOPEN,22,5 Write the Way You Speak and Other Bad Advice,publisher-supplied TOC,partial,Mapped to cohesion/emphasis or usage reference where supported by full companion article,cohesion-emphasis,Full book text unavailable
GOPEN,23,5.1 Bad Advice,publisher-supplied TOC,partial,Mapped to cohesion/emphasis or usage reference where supported by full companion article,cohesion-emphasis,Full book text unavailable
GOPEN,24,5.2 Toll Booth Syndrome,publisher-supplied TOC,partial,Mapped to cohesion/emphasis or usage reference where supported by full companion article,cohesion-emphasis,Full book text unavailable
GOPEN,25,6 Mark My Words: Punctuation,publisher-supplied TOC,partial,Mapped to cohesion/emphasis or usage reference where supported by full companion article,usage-adjudicator/reference,Full book text unavailable
GOPEN,26,6.1 Punctuation as power,publisher-supplied TOC,partial,Mapped to cohesion/emphasis or usage reference where supported by full companion article,usage-adjudicator/reference,Full book text unavailable
GOPEN,27,6.2 Semicolon/history,publisher-supplied TOC,partial,Mapped to cohesion/emphasis or usage reference where supported by full companion article,usage-adjudicator/reference,Full book text unavailable
GOPEN,28,6.3 Colon,publisher-supplied TOC,partial,Mapped to cohesion/emphasis or usage reference where supported by full companion article,usage-adjudicator/reference,Full book text unavailable
GOPEN,29,6.4 Dashes-parentheses-commas-brackets,publisher-supplied TOC,partial,Mapped to cohesion/emphasis or usage reference where supported by full companion article,usage-adjudicator/reference,Full book text unavailable
GOPEN,30,6.5 Hyphen,publisher-supplied TOC,partial,Mapped to cohesion/emphasis or usage reference where supported by full companion article,usage-adjudicator/reference,Full book text unavailable
GOPEN,31,6.6 Question mark,publisher-supplied TOC,partial,Mapped to cohesion/emphasis or usage reference where supported by full companion article,usage-adjudicator/reference,Full book text unavailable
GOPEN,32,6.7 Exclamation/artificial emphasis,publisher-supplied TOC,partial,Mapped to cohesion/emphasis or usage reference where supported by full companion article,usage-adjudicator/reference,Full book text unavailable
GOPEN,33,6.8 Quotation marks,publisher-supplied TOC,partial,Mapped to cohesion/emphasis or usage reference where supported by full companion article,usage-adjudicator/reference,Full book text unavailable
GOPEN,34,6.9 Apostrophe,publisher-supplied TOC,partial,Mapped to cohesion/emphasis or usage reference where supported by full companion article,usage-adjudicator/reference,Full book text unavailable
GOPEN,35,6.10 Ellipsis,publisher-supplied TOC,partial,Mapped to cohesion/emphasis or usage reference where supported by full companion article,usage-adjudicator/reference,Full book text unavailable
GOPEN,36,6.11 Period,publisher-supplied TOC,partial,Mapped to cohesion/emphasis or usage reference where supported by full companion article,usage-adjudicator/reference,Full book text unavailable
GOPEN,37,6.12 Comma,publisher-supplied TOC,partial,Mapped to cohesion/emphasis or usage reference where supported by full companion article,usage-adjudicator/reference,Full book text unavailable
GS90,1,Structural locations and reader roles,pp. 550–558,full,Operational heuristic extracted and evidence status qualified,cohesion-emphasis,
GS90,2,Subject–verb proximity,pp. 550–558,full,Operational heuristic extracted and evidence status qualified,cohesion-emphasis,
GS90,3,Stress position,pp. 550–558,full,Operational heuristic extracted and evidence status qualified,cohesion-emphasis,
GS90,4,One unit/one principal stress,pp. 550–558,full,Operational heuristic extracted and evidence status qualified,cohesion-emphasis,
GS90,5,Topic position,pp. 550–558,full,Operational heuristic extracted and evidence status qualified,cohesion-emphasis,
GS90,6,Given/new placement,pp. 550–558,full,Operational heuristic extracted and evidence status qualified,cohesion-emphasis,
GS90,7,No mechanical old/new rule,pp. 550–558,full,Operational heuristic extracted and evidence status qualified,cohesion-emphasis,
GS90,8,Passive for topic continuity,pp. 550–558,full,Operational heuristic extracted and evidence status qualified,cohesion-emphasis,
GS90,9,Context before details,pp. 550–558,full,Operational heuristic extracted and evidence status qualified,cohesion-emphasis,
GS90,10,Actions in verbs,pp. 550–558,full,Operational heuristic extracted and evidence status qualified,cohesion-emphasis,
GS90,11,Clause hierarchy,pp. 550–558,full,Operational heuristic extracted and evidence status qualified,cohesion-emphasis,
GS90,12,Logical gaps,pp. 550–558,full,Operational heuristic extracted and evidence status qualified,cohesion-emphasis,
GS90,13,Topic strings,pp. 550–558,full,Operational heuristic extracted and evidence status qualified,cohesion-emphasis,
GS90,14,Paragraph progression,pp. 550–558,full,Operational heuristic extracted and evidence status qualified,cohesion-emphasis,
GS90,15,Syntax before typography,pp. 550–558,full,Operational heuristic extracted and evidence status qualified,cohesion-emphasis,
GS90,16,Seven closing principles,pp. 550–558,full,Operational heuristic extracted and evidence status qualified,cohesion-emphasis,
GS90,17,Principles-not-rules limitations,pp. 550–558,full,Operational heuristic extracted and evidence status qualified,cohesion-emphasis,
TUF,1,Short Sentences,catalog TOC,partial,Chapter accounted; purpose-driven catalog marks derived detail,sentence-variety,Full chapter unavailable
TUF,2,Noun Phrases,catalog TOC,partial,Chapter accounted; purpose-driven catalog marks derived detail,sentence-variety,Full chapter unavailable
TUF,3,Verb Phrases,catalog TOC,partial,Chapter accounted; purpose-driven catalog marks derived detail,sentence-variety,Full chapter unavailable
TUF,4,Adjectives and Adverbs,catalog TOC,partial,Chapter accounted; purpose-driven catalog marks derived detail,sentence-variety,Full chapter unavailable
TUF,5,Prepositions,catalog TOC,partial,Chapter accounted; purpose-driven catalog marks derived detail,sentence-variety,Full chapter unavailable
TUF,6,Conjunctions and Coordination,catalog TOC,partial,Chapter accounted; purpose-driven catalog marks derived detail,sentence-variety,Full chapter unavailable
TUF,7,Dependent Clauses,catalog TOC,partial,Chapter accounted; purpose-driven catalog marks derived detail,sentence-variety,Full chapter unavailable
TUF,8,Sentence Openers and Inversion,catalog TOC,partial,Chapter accounted; purpose-driven catalog marks derived detail,sentence-variety,Full chapter unavailable
TUF,9,Free Modifiers: Branching Sentences,catalog TOC,partial,Chapter accounted; purpose-driven catalog marks derived detail,sentence-variety,Full chapter unavailable
TUF,10,The Appositive,catalog TOC,partial,Chapter accounted; purpose-driven catalog marks derived detail,sentence-variety,Full chapter unavailable
TUF,11,"Interrogative, Imperative, Exclamatory",catalog TOC,partial,Chapter accounted; purpose-driven catalog marks derived detail,sentence-variety,Full chapter unavailable
TUF,12,Parallelism,catalog TOC,partial,Chapter accounted; purpose-driven catalog marks derived detail,sentence-variety,Full chapter unavailable
TUF,13,Cohesion,catalog TOC,partial,Chapter accounted; purpose-driven catalog marks derived detail,sentence-variety,Full chapter unavailable
TUF,14,Syntactic Symbolism,catalog TOC,partial,Chapter accounted; purpose-driven catalog marks derived detail,sentence-variety,Full chapter unavailable
TUF,15,Bibliography,pp. 275–299/index,partial,Chapter accounted; purpose-driven catalog marks derived detail,reference-only,Full chapter unavailable
TUF,16,Index,pp. 275–299/index,partial,Chapter accounted; purpose-driven catalog marks derived detail,reference-only,Full chapter unavailable
MIN96,1,Part I Logic in Writing,catalog TOC,partial,Chapter accounted; accessible method mapped where supported,memo-structure,Full chapter unavailable
MIN96,2,1 Why a Pyramid Structure?,catalog TOC,partial,Chapter accounted; accessible method mapped where supported,memo-structure,Full chapter unavailable
MIN96,3,2 Substructures Within the Pyramid,catalog TOC,partial,Chapter accounted; accessible method mapped where supported,memo-structure,Full chapter unavailable
MIN96,4,3 How to Build a Pyramid Structure,catalog TOC,partial,Chapter accounted; accessible method mapped where supported,memo-structure,Full chapter unavailable
MIN96,5,4 Fine Points of Introductions,catalog TOC,partial,Chapter accounted; accessible method mapped where supported,memo-structure,Full chapter unavailable
MIN96,6,5 Deduction and Induction,catalog TOC,partial,Chapter accounted; accessible method mapped where supported,memo-structure,Full chapter unavailable
MIN96,7,Part II Logic in Thinking,catalog TOC,partial,Chapter accounted; accessible method mapped where supported,memo-structure,Full chapter unavailable
MIN96,8,6 Imposing Logical Order,catalog TOC,partial,Chapter accounted; accessible method mapped where supported,memo-structure,Full chapter unavailable
MIN96,9,7 Summarizing Grouped Ideas,catalog TOC,partial,Chapter accounted; accessible method mapped where supported,memo-structure,Full chapter unavailable
MIN96,10,Part III Logic in Problem Solving,catalog TOC,partial,Chapter accounted; accessible method mapped where supported,memo-structure,Full chapter unavailable
MIN96,11,8 Defining the Problem,catalog TOC,partial,Chapter accounted; accessible method mapped where supported,memo-structure,Full chapter unavailable
MIN96,12,9 Structuring Analysis,catalog TOC,partial,Chapter accounted; accessible method mapped where supported,memo-structure,Full chapter unavailable
MIN96,13,Part IV Logic in Presentation,catalog TOC,partial,Chapter accounted; accessible method mapped where supported,reference-only,Full chapter unavailable
MIN96,14,10 Reflecting the Pyramid on the Page,catalog TOC,partial,Chapter accounted; accessible method mapped where supported,reference-only,Full chapter unavailable
MIN96,15,11 Reflecting the Pyramid on the Screen,catalog TOC,partial,Chapter accounted; accessible method mapped where supported,reference-only,Full chapter unavailable
MIN96,16,12 Reflecting the Pyramid in Prose,catalog TOC,partial,Chapter accounted; accessible method mapped where supported,memo-structure,Full chapter unavailable
MIN96,17,Appendix A Structureless Situations,catalog TOC,partial,Chapter accounted; accessible method mapped where supported,memo-structure,Full chapter unavailable
MIN96,18,Appendix B Introductory Structures,catalog TOC,partial,Chapter accounted; accessible method mapped where supported,memo-structure,Full chapter unavailable
MIN96,19,Appendix C Key Points,catalog TOC,partial,Chapter accounted; accessible method mapped where supported,memo-structure,Full chapter unavailable
MIN26,1,Part I Logic in Writing,official TOC,partial,Current-edition section accounted; content relation to 1996 unresolved,memo-structure,Full text unavailable
MIN26,2,1 Why the pyramid structure,official TOC,partial,Current-edition section accounted; content relation to 1996 unresolved,memo-structure,Full text unavailable
MIN26,3,2 Substructures,official TOC,partial,Current-edition section accounted; content relation to 1996 unresolved,memo-structure,Full text unavailable
MIN26,4,3 Build,official TOC,partial,Current-edition section accounted; content relation to 1996 unresolved,memo-structure,Full text unavailable
MIN26,5,4 Fine points of introductions,official TOC,partial,Current-edition section accounted; content relation to 1996 unresolved,memo-structure,Full text unavailable
MIN26,6,5 Deduction and induction,official TOC,partial,Current-edition section accounted; content relation to 1996 unresolved,memo-structure,Full text unavailable
MIN26,7,6 Highlight structure,official TOC,partial,Current-edition section accounted; content relation to 1996 unresolved,memo-structure,Full text unavailable
MIN26,8,Part II Logic in Thinking,official TOC,partial,Current-edition section accounted; content relation to 1996 unresolved,memo-structure,Full text unavailable
MIN26,9,7 Question order/grouping,official TOC,partial,Current-edition section accounted; content relation to 1996 unresolved,memo-structure,Full text unavailable
MIN26,10,8 Question problem-solving process,official TOC,partial,Current-edition section accounted; content relation to 1996 unresolved,memo-structure,Full text unavailable
MIN26,11,9 Question summary statement,official TOC,partial,Current-edition section accounted; content relation to 1996 unresolved,memo-structure,Full text unavailable
MIN26,12,10 Putting into readable words,official TOC,partial,Current-edition section accounted; content relation to 1996 unresolved,memo-structure,Full text unavailable
MIN26,13,Appendix Problem Solving in Structureless Situations,official TOC,partial,Current-edition section accounted; content relation to 1996 unresolved,memo-structure,Full text unavailable
DIA,1,Home,https://diataxis.fr/,full,Complete page extracted; principle/type/architecture/change disposition recorded,doc-typing,
DIA,2,Start here,https://diataxis.fr/start-here/,full,Complete page extracted; principle/type/architecture/change disposition recorded,doc-typing,
DIA,3,Applying Diátaxis,https://diataxis.fr/application/,full,Complete page extracted; principle/type/architecture/change disposition recorded,doc-typing,
DIA,4,Tutorials,https://diataxis.fr/tutorials/,full,Complete page extracted; principle/type/architecture/change disposition recorded,doc-typing,
DIA,5,How-to guides,https://diataxis.fr/how-to-guides/,full,Complete page extracted; principle/type/architecture/change disposition recorded,doc-typing,
DIA,6,Reference,https://diataxis.fr/reference/,full,Complete page extracted; principle/type/architecture/change disposition recorded,doc-typing,
DIA,7,Explanation,https://diataxis.fr/explanation/,full,Complete page extracted; principle/type/architecture/change disposition recorded,doc-typing,
DIA,8,The compass,https://diataxis.fr/compass/,full,Complete page extracted; principle/type/architecture/change disposition recorded,doc-typing,
DIA,9,Workflow,https://diataxis.fr/how-to-use-diataxis/,full,Complete page extracted; principle/type/architecture/change disposition recorded,doc-typing,
DIA,10,Understanding Diátaxis,https://diataxis.fr/theory/,full,Complete page extracted; principle/type/architecture/change disposition recorded,doc-typing,
DIA,11,Foundations,https://diataxis.fr/foundations/,full,Complete page extracted; principle/type/architecture/change disposition recorded,doc-typing,
DIA,12,The map,https://diataxis.fr/map/,full,Complete page extracted; principle/type/architecture/change disposition recorded,doc-typing,
DIA,13,Quality,https://diataxis.fr/quality/,full,Complete page extracted; principle/type/architecture/change disposition recorded,doc-typing,
DIA,14,Tutorials and how-to guides,https://diataxis.fr/tutorials-how-to/,full,Complete page extracted; principle/type/architecture/change disposition recorded,doc-typing,
DIA,15,Reference and explanation,https://diataxis.fr/reference-explanation/,full,Complete page extracted; principle/type/architecture/change disposition recorded,doc-typing,
DIA,16,Colophon,https://diataxis.fr/colophon/,full,Complete page extracted; principle/type/architecture/change disposition recorded,doc-typing,
DIA,17,Help translate,https://diataxis.fr/translation/,full,Complete page extracted; principle/type/architecture/change disposition recorded,doc-typing,
DIA,18,News & Updates,https://diataxis.fr/news/,full,Complete page extracted; principle/type/architecture/change disposition recorded,doc-typing,
GAR5,1,Preface and edition method,Oxford Reference/front matter,partial,Meta-method/taxonomy disposition recorded,usage-adjudicator,Some items subscription-protected
GAR5,2,List of Essay Entries,Oxford Reference/front matter,partial,Meta-method/taxonomy disposition recorded,usage-adjudicator,Some items subscription-protected
GAR5,3,Abbreviations,Oxford Reference/front matter,partial,Meta-method/taxonomy disposition recorded,usage-adjudicator,Some items subscription-protected
GAR5,4,Pronunciation Key,Oxford Reference/front matter,partial,Meta-method/taxonomy disposition recorded,usage-adjudicator,Some items subscription-protected
GAR5,5,Key to Language-Change Index,Oxford Reference/front matter,partial,Meta-method/taxonomy disposition recorded,usage-adjudicator,Some items subscription-protected
GAR5,6,Glossary of grammatical/rhetorical terms,Oxford Reference/front matter,partial,Meta-method/taxonomy disposition recorded,usage-adjudicator,Some items subscription-protected
GAR5,7,Timeline of usage books,Oxford Reference/front matter,partial,Meta-method/taxonomy disposition recorded,usage-adjudicator,Some items subscription-protected
GAR5,8,Select bibliography,Oxford Reference/front matter,partial,Meta-method/taxonomy disposition recorded,usage-adjudicator,Some items subscription-protected
GAR5,9,A–Z entries: A,Oxford Reference browse,unavailable-full,Letter category explicitly accounted; no exhaustive headword extraction claimed,usage-adjudicator,Subscription barrier; issue index is schema plus verified seeds only
GAR5,10,A–Z entries: B,Oxford Reference browse,unavailable-full,Letter category explicitly accounted; no exhaustive headword extraction claimed,usage-adjudicator,Subscription barrier; issue index is schema plus verified seeds only
GAR5,11,A–Z entries: C,Oxford Reference browse,unavailable-full,Letter category explicitly accounted; no exhaustive headword extraction claimed,usage-adjudicator,Subscription barrier; issue index is schema plus verified seeds only
GAR5,12,A–Z entries: D,Oxford Reference browse,unavailable-full,Letter category explicitly accounted; no exhaustive headword extraction claimed,usage-adjudicator,Subscription barrier; issue index is schema plus verified seeds only
GAR5,13,A–Z entries: E,Oxford Reference browse,unavailable-full,Letter category explicitly accounted; no exhaustive headword extraction claimed,usage-adjudicator,Subscription barrier; issue index is schema plus verified seeds only
GAR5,14,A–Z entries: F,Oxford Reference browse,unavailable-full,Letter category explicitly accounted; no exhaustive headword extraction claimed,usage-adjudicator,Subscription barrier; issue index is schema plus verified seeds only
GAR5,15,A–Z entries: G,Oxford Reference browse,unavailable-full,Letter category explicitly accounted; no exhaustive headword extraction claimed,usage-adjudicator,Subscription barrier; issue index is schema plus verified seeds only
GAR5,16,A–Z entries: H,Oxford Reference browse,unavailable-full,Letter category explicitly accounted; no exhaustive headword extraction claimed,usage-adjudicator,Subscription barrier; issue index is schema plus verified seeds only
GAR5,17,A–Z entries: I,Oxford Reference browse,unavailable-full,Letter category explicitly accounted; no exhaustive headword extraction claimed,usage-adjudicator,Subscription barrier; issue index is schema plus verified seeds only
GAR5,18,A–Z entries: J,Oxford Reference browse,unavailable-full,Letter category explicitly accounted; no exhaustive headword extraction claimed,usage-adjudicator,Subscription barrier; issue index is schema plus verified seeds only
GAR5,19,A–Z entries: K,Oxford Reference browse,unavailable-full,Letter category explicitly accounted; no exhaustive headword extraction claimed,usage-adjudicator,Subscription barrier; issue index is schema plus verified seeds only
GAR5,20,A–Z entries: L,Oxford Reference browse,unavailable-full,Letter category explicitly accounted; no exhaustive headword extraction claimed,usage-adjudicator,Subscription barrier; issue index is schema plus verified seeds only
